M,Hand,1,3,5,5,3,5,5,5,1,3,3,3,4,5,4,3,5,4,2,2,5,5,4,5,1,3,5,5,1,1
M,Hand,0,4,5,4,4,1,5,3,4,2,3,1,3,4,3,2,4,1,4,5,4,4,3,5,2,4,3,4,1,1
F,Hand,0,4,4,4,3,1,4,4,3,5,2,2,4,4,4,3,3,2,3,3,4,3,4,4,2,3,4,3,2,2
F,Hand,1,5,5,5,5,5,5,4,5,5,5,3,5,5,5,4,5,5,4,4,5,5,3,3,5,5,5,1,2,1
F,Hand,1,5,5,4,3,3,4,4,5,4,4,5,3,2,4,3,3,3,3,4,4,4,5,3,5,5,4,3,2,1
M,Hand,1,4,1,3,1,3,1,4,2,5,2,2,4,4,4,2,1,3,3,5,5,2,3,1,4,2,2,4,2,2
M,Hand,1,5,4,5,4,3,1,5,4,5,2,5,2,5,1,2,3,4,5,3,5,5,5,1,5,4,3,3,4,3
F,Hand,1,3,4,5,3,3,5,4,4,4,2,3,3,3,3,3,3,5,5,5,4,4,4,4,5,3,2,4,2,1
M,Hand,0,5,5,4,5,3,3,5,5,5,5,4,4,5,4,4,4,5,5,5,5,3,5,4,5,5,5,1,3,1
F,Hand,1,4,4,3,3,4,3,4,3,4,3,4,4,4,3,3,4,3,3,2,3,4,3,3,2,3,4,3,2,1
M,Hand,0,4,5,4,5,3,4,3,1,3,4,3,1,3,3,5,3,5,5,5,5,5,3,5,5,5,4,3,1,1
M,Hand,1,4,5,5,5,5,5,5,5,5,5,5,3,5,4,3,5,3,5,4,5,2,3,4,4,5,4,4,1,1
M,Hand,0,5,5,5,5,4,4,4,5,5,4,5,5,5,5,4,5,4,4,3,5,5,5,4,4,5,5,3,4,5
M,Hand,1,4,5,4,5,5,3,5,5,5,3,4,2,5,3,5,5,4,3,5,5,4,1,5,1,4,5,1,1,1
F,Hand,1,3,5,5,5,5,5,5,3,5,4,4,3,3,4,5,4,3,3,4,4,4,4,2,3,5,4,1,1,1
M,Hand,0,4,5,5,4,3,5,4,5,5,4,4,5,5,5,4,4,5,3,5,3,4,5,4,4,5,5,2,1,1
F,Hand,0,4,3,4,3,4,3,3,4,5,3,4,4,5,3,4,2,4,3,4,4,4,4,5,4,3,4,2,3,2
F,Hand,1,4,4,3,5,5,3,2,2,4,2,2,3,5,1,3,4,3,1,4,4,2,3,4,5,3,4,3,1,2
M,Hand,1,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,5
F,Hand,0,4,3,4,5,4,3,2,2,5,3,3,4,4,3,2,5,4,5,3,4,4,4,3,1,3,4,1,4,1
F,Hand,1,4,4,3,3,3,3,3,4,4,4,4,4,3,3,3,3,3,3,3,4,3,4,4,3,3,3,3,2,3
F,Hand,1,4,5,5,5,4,5,5,5,5,4,3,5,5,5,4,5,4,3,5,5,5,5,4,5,5,4,2,1,1
F,Hand,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,3,5,5,4,5,4,3,5,5,1,1,1
F,Hand,0,5,5,5,5,5,5,4,3,5,4,4,3,5,1,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5
M,Hand,1,4,3,4,4,4,5,4,3,5,5,5,4,5,5,4,4,4,4,5,5,5,5,5,3,5,5,4,2,2
M,Hand,0,4,5,5,4,4,5,4,4,5,4,3,4,3,1,5,3,4,5,3,4,5,4,3,2,4,3,1,3,3
M,Hand,1,3,4,2,4,2,4,3,2,4,2,2,5,3,2,4,2,2,2,4,5,4,4,1,1,3,3,3,3,3
F,Controller,1,3,3,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,3,5,5,4,3,4,5,5,3,3,3
F,Controller,1,3,3,4,2,3,2,3,4,5,3,4,3,5,5,2,5,5,3,5,3,4,3,2,5,4,4,3,5,3
F,Controller,1,3,5,5,1,5,3,5,5,5,3,3,3,5,5,1,3,5,3,3,5,3,3,1,3,3,3,3,1,5
M,Controller,1,4,4,4,5,4,5,5,4,5,5,4,5,3,5,3,4,5,5,2,5,5,4,4,2,4,4,1,4,1
M,Controller,1,3,3,4,3,3,3,3,4,3,3,4,3,3,2,3,3,3,2,3,4,4,4,4,3,5,3,1,2,2
M,Controller,1,3,3,3,2,1,3,5,3,5,5,5,4,2,5,5,3,2,5,5,3,3,3,5,4,4,2,2,2,3
M,Controller,0,5,5,5,5,5,2,5,3,4,4,5,5,5,5,5,5,5,2,5,5,5,1,5,5,5,5,5,5,5
M,Controller,0,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,1,5,5,5,5,5,1,1,1
M,Controller,0,4,4,3,3,4,3,4,5,4,5,4,4,4,3,2,4,4,5,2,2,3,4,4,4,5,3,5,4,4
M,Controller,0,3,5,2,3,2,4,5,4,4,4,3,2,4,1,2,3,3,5,2,2,5,2,1,1,4,3,4,4,3
F,Controller,1,3,4,3,5,5,5,3,4,5,3,2,1,4,3,3,3,5,2,5,5,3,5,5,2,5,5,4,1,4
F,Controller,1,5,5,3,5,5,5,5,3,5,3,2,3,5,2,5,4,5,4,5,5,4,4,4,3,4,4,4,1,1
F,Controller,1,5,4,5,5,3,5,4,5,5,5,4,3,5,5,4,5,2,2,5,5,5,3,4,4,5,5,3,4,3
M,Controller,0,5,4,5,5,3,4,5,5,5,3,4,3,5,5,1,5,5,5,2,4,4,3,3,3,4,2,1,1,1
M,Controller,1,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,1,1
F,Controller,1,4,5,3,4,3,5,3,5,4,4,4,4,3,3,3,4,3,3,4,4,4,2,4,4,4,4,3,2,2
M,Controller,1,4,2,4,3,2,4,3,4,4,2,2,2,5,2,3,2,4,5,4,4,3,3,4,3,3,2,3,5,3
F,Controller,1,4,3,4,3,5,4,3,4,3,2,4,3,4,4,2,4,2,3,3,4,4,2,4,3,4,2,2,2,2
M,Controller,0,5,5,4,4,3,5,4,3,5,3,5,2,5,4,5,4,2,5,5,5,5,5,4,1,4,5,1,2,3
F,Controller,1,3,3,4,4,2,4,3,4,4,3,3,3,5,3,3,3,2,2,3,4,3,4,4,1,4,4,2,3,2
F,Controller,0,4,4,4,5,4,5,4,3,5,4,4,4,5,3,4,5,5,5,4,4,5,5,5,1,5,4,4,1,1
F,Controller,1,4,5,3,4,5,4,4,1,3,5,5,3,4,5,5,4,4,5,5,5,3,2,3,2,4,5,2,4,1
M,Controller,1,4,5,4,5,3,5,3,3,5,3,4,4,5,3,3,3,3,2,4,5,4,5,3,4,4,5,2,1,1
M,Controller,0,3,4,5,5,5,5,5,4,5,4,5,4,4,4,2,5,3,5,3,5,5,2,4,4,4,4,2,1,4
M,Controller,0,5,5,5,5,4,5,3,2,4,4,5,3,4,2,4,3,5,3,5,5,2,4,4,3,4,5,4,1,1
M,Controller,1,4,3,5,5,4,5,3,5,5,5,5,4,4,5,3,4,3,2,4,5,4,5,4,5,3,1,1,1,2
F,Controller,1,4,4,5,4,4,3,5,4,4,3,4,3,4,3,3,4,3,3,2,4,4,5,3,3,4,5,3,2,2
